iso2,country_wb,year,tfr
DE,Germany,1994,1.24
DE,Germany,1995,1.25
DE,Germany,1996,1.3
DE,Germany,1997,1.35
DE,Germany,1998,1.36
DE,Germany,1999,1.36
DE,Germany,2000,1.38
DE,Germany,2001,1.35
DE,Germany,2002,1.34
DE,Germany,2003,1.34
DE,Germany,2004,1.36
DE,Germany,2005,1.34
DE,Germany,2006,1.33
DE,Germany,2007,1.37
DE,Germany,2008,1.38
DE,Germany,2009,1.36
DE,Germany,2010,1.39
DE,Germany,2011,1.39
DE,Germany,2012,1.41
DE,Germany,2013,1.42
DE,Germany,2014,1.47
DE,Germany,2015,1.5
DE,Germany,2016,1.6
DE,Germany,2017,1.57
DE,Germany,2018,1.57
DE,Germany,2019,1.54
DE,Germany,2020,1.53
DE,Germany,2021,1.58
DE,Germany,2022,1.455
DE,Germany,2023,1.39
DE,Germany,2024,1.36
DK,Denmark,1970,1.95
DK,Denmark,1971,2.04
DK,Denmark,1972,2.03
DK,Denmark,1973,1.92
DK,Denmark,1974,1.9
DK,Denmark,1975,1.92
DK,Denmark,1976,1.75
DK,Denmark,1977,1.66
DK,Denmark,1978,1.67
DK,Denmark,1979,1.6
DK,Denmark,1980,1.55
DK,Denmark,1981,1.44
DK,Denmark,1982,1.43
DK,Denmark,1983,1.38
DK,Denmark,1984,1.4
DK,Denmark,1985,1.45
DK,Denmark,1986,1.48
DK,Denmark,1987,1.5
DK,Denmark,1988,1.56
DK,Denmark,1989,1.62
DK,Denmark,1990,1.67
DK,Denmark,1991,1.68
DK,Denmark,1992,1.76
DK,Denmark,1993,1.75
DK,Denmark,1994,1.81
DK,Denmark,1995,1.8
DK,Denmark,1996,1.75
DK,Denmark,1997,1.75
DK,Denmark,1998,1.72
DK,Denmark,1999,1.73
DK,Denmark,2000,1.77
DK,Denmark,2001,1.74
DK,Denmark,2002,1.72
DK,Denmark,2003,1.76
DK,Denmark,2004,1.78
DK,Denmark,2005,1.8
DK,Denmark,2006,1.85
DK,Denmark,2007,1.84
DK,Denmark,2008,1.89
DK,Denmark,2009,1.84
DK,Denmark,2010,1.87
DK,Denmark,2011,1.75
DK,Denmark,2012,1.73
DK,Denmark,2013,1.67
DK,Denmark,2014,1.69
DK,Denmark,2015,1.71
DK,Denmark,2016,1.79
DK,Denmark,2017,1.75
DK,Denmark,2018,1.73
DK,Denmark,2019,1.7
DK,Denmark,2020,1.68
DK,Denmark,2021,1.72
DK,Denmark,2022,1.55
DK,Denmark,2023,1.5
DK,Denmark,2024,1.47
EE,Estonia,1970,2.17
EE,Estonia,1971,2.19
EE,Estonia,1972,2.13
EE,Estonia,1973,2.06
EE,Estonia,1974,2.07
EE,Estonia,1975,2.04
EE,Estonia,1976,2.07
EE,Estonia,1977,2.06
EE,Estonia,1978,2.02
EE,Estonia,1979,2
EE,Estonia,1980,2.02
EE,Estonia,1981,2.07
EE,Estonia,1982,2.07
EE,Estonia,1983,2.16
EE,Estonia,1984,2.17
EE,Estonia,1985,2.13
EE,Estonia,1986,2.18
EE,Estonia,1987,2.27
EE,Estonia,1988,2.27
EE,Estonia,1989,2.22
EE,Estonia,1990,2.05
EE,Estonia,1991,1.8
EE,Estonia,1992,1.71
EE,Estonia,1993,1.49
EE,Estonia,1994,1.42
EE,Estonia,1995,1.38
EE,Estonia,1996,1.37
EE,Estonia,1997,1.32
EE,Estonia,1998,1.28
EE,Estonia,1999,1.3
EE,Estonia,2000,1.36
EE,Estonia,2001,1.32
EE,Estonia,2002,1.36
EE,Estonia,2003,1.37
EE,Estonia,2004,1.47
EE,Estonia,2005,1.52
EE,Estonia,2006,1.58
EE,Estonia,2007,1.69
EE,Estonia,2008,1.72
EE,Estonia,2009,1.7
EE,Estonia,2010,1.72
EE,Estonia,2011,1.61
EE,Estonia,2012,1.56
EE,Estonia,2013,1.52
EE,Estonia,2014,1.54
EE,Estonia,2015,1.58
EE,Estonia,2016,1.6
EE,Estonia,2017,1.59
EE,Estonia,2018,1.67
EE,Estonia,2019,1.66
EE,Estonia,2020,1.58
EE,Estonia,2021,1.61
EE,Estonia,2022,1.41
EE,Estonia,2023,1.31
EE,Estonia,2024,1.18
ES,Spain,1970,2.84
ES,Spain,1971,2.9
ES,Spain,1972,2.87
ES,Spain,1973,2.84
ES,Spain,1974,2.88
ES,Spain,1975,2.77
ES,Spain,1976,2.77
ES,Spain,1977,2.65
ES,Spain,1978,2.54
ES,Spain,1979,2.37
ES,Spain,1980,2.22
ES,Spain,1981,2.04
ES,Spain,1982,1.94
ES,Spain,1983,1.8
ES,Spain,1984,1.73
ES,Spain,1985,1.64
ES,Spain,1986,1.56
ES,Spain,1987,1.49
ES,Spain,1988,1.45
ES,Spain,1989,1.4
ES,Spain,1990,1.36
ES,Spain,1991,1.33
ES,Spain,1992,1.31
ES,Spain,1993,1.26
ES,Spain,1994,1.19
ES,Spain,1995,1.16
ES,Spain,1996,1.14
ES,Spain,1997,1.15
ES,Spain,1998,1.13
ES,Spain,1999,1.17
ES,Spain,2000,1.22
ES,Spain,2001,1.23
ES,Spain,2002,1.25
ES,Spain,2003,1.3
ES,Spain,2004,1.31
ES,Spain,2005,1.33
ES,Spain,2006,1.36
ES,Spain,2007,1.38
ES,Spain,2008,1.45
ES,Spain,2009,1.38
ES,Spain,2010,1.37
ES,Spain,2011,1.34
ES,Spain,2012,1.32
ES,Spain,2013,1.27
ES,Spain,2014,1.32
ES,Spain,2015,1.33
ES,Spain,2016,1.33
ES,Spain,2017,1.31
ES,Spain,2018,1.26
ES,Spain,2019,1.23
ES,Spain,2020,1.18
ES,Spain,2021,1.18
ES,Spain,2022,1.16
ES,Spain,2023,1.12
ES,Spain,2024,1.1
FI,Finland,1970,1.83
FI,Finland,1971,1.68
FI,Finland,1972,1.58
FI,Finland,1973,1.49
FI,Finland,1974,1.61
FI,Finland,1975,1.68
FI,Finland,1976,1.7
FI,Finland,1977,1.68
FI,Finland,1978,1.64
FI,Finland,1979,1.64
FI,Finland,1980,1.63
FI,Finland,1981,1.64
FI,Finland,1982,1.71
FI,Finland,1983,1.74
FI,Finland,1984,1.69
FI,Finland,1985,1.64
FI,Finland,1986,1.6
FI,Finland,1987,1.59
FI,Finland,1988,1.69
FI,Finland,1989,1.71
FI,Finland,1990,1.78
FI,Finland,1991,1.79
FI,Finland,1992,1.85
FI,Finland,1993,1.81
FI,Finland,1994,1.85
FI,Finland,1995,1.81
FI,Finland,1996,1.78
FI,Finland,1997,1.75
FI,Finland,1998,1.7
FI,Finland,1999,1.73
FI,Finland,2000,1.73
FI,Finland,2001,1.73
FI,Finland,2002,1.72
FI,Finland,2003,1.76
FI,Finland,2004,1.8
FI,Finland,2005,1.8
FI,Finland,2006,1.84
FI,Finland,2007,1.83
FI,Finland,2008,1.85
FI,Finland,2009,1.86
FI,Finland,2010,1.87
FI,Finland,2011,1.83
FI,Finland,2012,1.8
FI,Finland,2013,1.75
FI,Finland,2014,1.71
FI,Finland,2015,1.65
FI,Finland,2016,1.57
FI,Finland,2017,1.49
FI,Finland,2018,1.41
FI,Finland,2019,1.35
FI,Finland,2020,1.37
FI,Finland,2021,1.46
FI,Finland,2022,1.32
FI,Finland,2023,1.26
FI,Finland,2024,1.25
FR,France,1970,2.55
FR,France,1971,2.47
FR,France,1972,2.38
FR,France,1973,2.28
FR,France,1974,2.18
FR,France,1975,2.09
FR,France,1976,2.01
FR,France,1977,1.94
FR,France,1978,1.89
FR,France,1979,1.87
FR,France,1980,1.85
FR,France,1981,1.85
FR,France,1982,1.86
FR,France,1983,1.86
FR,France,1984,1.86
FR,France,1985,1.86
FR,France,1986,1.85
FR,France,1987,1.83
FR,France,1988,1.81
FR,France,1989,1.79
FR,France,1990,1.77
FR,France,1991,1.75
FR,France,1992,1.74
FR,France,1993,1.73
FR,France,1994,1.73
FR,France,1995,1.74
FR,France,1996,1.75
FR,France,1997,1.77
FR,France,1998,1.78
FR,France,1999,1.81
FR,France,2000,1.89
FR,France,2001,1.9
FR,France,2002,1.88
FR,France,2003,1.89
FR,France,2004,1.92
FR,France,2005,1.94
FR,France,2006,2
FR,France,2007,1.98
FR,France,2008,2.01
FR,France,2009,2
FR,France,2010,2.03
FR,France,2011,2.01
FR,France,2012,2.01
FR,France,2013,1.99
FR,France,2014,2
FR,France,2015,1.96
FR,France,2016,1.92
FR,France,2017,1.89
FR,France,2018,1.87
FR,France,2019,1.86
FR,France,2020,1.82
FR,France,2021,1.83
FR,France,2022,1.78
FR,France,2023,1.66
FR,France,2024,1.61
GB,United Kingdom,1970,2.44
GB,United Kingdom,1971,2.41
GB,United Kingdom,1972,2.2
GB,United Kingdom,1973,2.04
GB,United Kingdom,1974,1.92
GB,United Kingdom,1975,1.81
GB,United Kingdom,1976,1.74
GB,United Kingdom,1977,1.69
GB,United Kingdom,1978,1.75
GB,United Kingdom,1979,1.86
GB,United Kingdom,1980,1.9
GB,United Kingdom,1981,1.82
GB,United Kingdom,1982,1.78
GB,United Kingdom,1983,1.77
GB,United Kingdom,1984,1.77
GB,United Kingdom,1985,1.79
GB,United Kingdom,1986,1.78
GB,United Kingdom,1987,1.81
GB,United Kingdom,1988,1.82
GB,United Kingdom,1989,1.79
GB,United Kingdom,1990,1.83
GB,United Kingdom,1991,1.82
GB,United Kingdom,1992,1.79
GB,United Kingdom,1993,1.76
GB,United Kingdom,1994,1.74
GB,United Kingdom,1995,1.71
GB,United Kingdom,1996,1.73
GB,United Kingdom,1997,1.72
GB,United Kingdom,1998,1.71
GB,United Kingdom,1999,1.68
GB,United Kingdom,2000,1.64
GB,United Kingdom,2001,1.63
GB,United Kingdom,2002,1.63
GB,United Kingdom,2003,1.7
GB,United Kingdom,2004,1.75
GB,United Kingdom,2005,1.76
GB,United Kingdom,2006,1.82
GB,United Kingdom,2007,1.86
GB,United Kingdom,2008,1.91
GB,United Kingdom,2009,1.89
GB,United Kingdom,2010,1.92
GB,United Kingdom,2011,1.91
GB,United Kingdom,2012,1.92
GB,United Kingdom,2013,1.83
GB,United Kingdom,2014,1.81
GB,United Kingdom,2015,1.8
GB,United Kingdom,2016,1.79
GB,United Kingdom,2017,1.74
GB,United Kingdom,2018,1.68
GB,United Kingdom,2019,1.632
GB,United Kingdom,2020,1.571
GB,United Kingdom,2021,1.583
GB,United Kingdom,2022,1.56
GB,United Kingdom,2023,1.56
GB,United Kingdom,2024,1.551
GR,Greece,1970,2.4
GR,Greece,1971,2.32
GR,Greece,1972,2.32
GR,Greece,1973,2.27
GR,Greece,1974,2.38
GR,Greece,1975,2.33
GR,Greece,1976,2.35
GR,Greece,1977,2.27
GR,Greece,1978,2.28
GR,Greece,1979,2.26
GR,Greece,1980,2.23
GR,Greece,1981,2.09
GR,Greece,1982,2.03
GR,Greece,1983,1.94
GR,Greece,1984,1.83
GR,Greece,1985,1.67
GR,Greece,1986,1.6
GR,Greece,1987,1.5
GR,Greece,1988,1.5
GR,Greece,1989,1.4
GR,Greece,1990,1.39
GR,Greece,1991,1.37
GR,Greece,1992,1.36
GR,Greece,1993,1.32
GR,Greece,1994,1.33
GR,Greece,1995,1.28
GR,Greece,1996,1.26
GR,Greece,1997,1.27
GR,Greece,1998,1.24
GR,Greece,1999,1.23
GR,Greece,2000,1.25
GR,Greece,2001,1.25
GR,Greece,2002,1.28
GR,Greece,2003,1.29
GR,Greece,2004,1.31
GR,Greece,2005,1.34
GR,Greece,2006,1.4
GR,Greece,2007,1.41
GR,Greece,2008,1.5
GR,Greece,2009,1.5
GR,Greece,2010,1.48
GR,Greece,2011,1.4
GR,Greece,2012,1.34
GR,Greece,2013,1.29
GR,Greece,2014,1.3
GR,Greece,2015,1.33
GR,Greece,2016,1.38
GR,Greece,2017,1.35
GR,Greece,2018,1.35
GR,Greece,2019,1.34
GR,Greece,2020,1.39
GR,Greece,2021,1.43
GR,Greece,2022,1.32
GR,Greece,2023,1.26
GR,Greece,2024,1.24
HU,Hungary,1970,1.98
HU,Hungary,1971,1.93
HU,Hungary,1972,1.93
HU,Hungary,1973,1.93
HU,Hungary,1974,2.27
HU,Hungary,1975,2.35
HU,Hungary,1976,2.23
HU,Hungary,1977,2.15
HU,Hungary,1978,2.06
HU,Hungary,1979,2.01
HU,Hungary,1980,1.91
HU,Hungary,1981,1.88
HU,Hungary,1982,1.8
HU,Hungary,1983,1.75
HU,Hungary,1984,1.75
HU,Hungary,1985,1.85
HU,Hungary,1986,1.84
HU,Hungary,1987,1.82
HU,Hungary,1988,1.81
HU,Hungary,1989,1.82
HU,Hungary,1990,1.87
HU,Hungary,1991,1.87
HU,Hungary,1992,1.77
HU,Hungary,1993,1.68
HU,Hungary,1994,1.64
HU,Hungary,1995,1.57
HU,Hungary,1996,1.46
HU,Hungary,1997,1.37
HU,Hungary,1998,1.32
HU,Hungary,1999,1.28
HU,Hungary,2000,1.32
HU,Hungary,2001,1.31
HU,Hungary,2002,1.3
HU,Hungary,2003,1.27
HU,Hungary,2004,1.28
HU,Hungary,2005,1.31
HU,Hungary,2006,1.34
HU,Hungary,2007,1.32
HU,Hungary,2008,1.35
HU,Hungary,2009,1.32
HU,Hungary,2010,1.25
HU,Hungary,2011,1.23
HU,Hungary,2012,1.34
HU,Hungary,2013,1.36
HU,Hungary,2014,1.45
HU,Hungary,2015,1.46
HU,Hungary,2016,1.55
HU,Hungary,2017,1.56
HU,Hungary,2018,1.57
HU,Hungary,2019,1.58
HU,Hungary,2020,1.61
HU,Hungary,2021,1.63
HU,Hungary,2022,1.57
HU,Hungary,2023,1.55
HU,Hungary,2024,1.41
IE,Ireland,1970,3.85
IE,Ireland,1971,3.93
IE,Ireland,1972,3.84
IE,Ireland,1973,3.71
IE,Ireland,1974,3.59
IE,Ireland,1975,3.37
IE,Ireland,1976,3.29
IE,Ireland,1977,3.24
IE,Ireland,1978,3.21
IE,Ireland,1979,3.21
IE,Ireland,1980,3.21
IE,Ireland,1981,3.05
IE,Ireland,1982,2.94
IE,Ireland,1983,2.74
IE,Ireland,1984,2.58
IE,Ireland,1985,2.48
IE,Ireland,1986,2.44
IE,Ireland,1987,2.32
IE,Ireland,1988,2.17
IE,Ireland,1989,2.08
IE,Ireland,1990,2.11
IE,Ireland,1991,2.08
IE,Ireland,1992,1.99
IE,Ireland,1993,1.9
IE,Ireland,1994,1.85
IE,Ireland,1995,1.84
IE,Ireland,1996,1.88
IE,Ireland,1997,1.93
IE,Ireland,1998,1.94
IE,Ireland,1999,1.9
IE,Ireland,2000,1.89
IE,Ireland,2001,1.94
IE,Ireland,2002,1.97
IE,Ireland,2003,1.96
IE,Ireland,2004,1.93
IE,Ireland,2005,1.86
IE,Ireland,2006,1.91
IE,Ireland,2007,2.01
IE,Ireland,2008,2.06
IE,Ireland,2009,2.06
IE,Ireland,2010,2.05
IE,Ireland,2011,2.03
IE,Ireland,2012,1.98
IE,Ireland,2013,1.93
IE,Ireland,2014,1.89
IE,Ireland,2015,1.85
IE,Ireland,2016,1.81
IE,Ireland,2017,1.76
IE,Ireland,2018,1.74
IE,Ireland,2019,1.69
IE,Ireland,2020,1.6
IE,Ireland,2021,1.72
IE,Ireland,2022,1.51
IE,Ireland,2023,1.5
IE,Ireland,2024,1.47
IT,Italy,1970,2.38
IT,Italy,1971,2.4
IT,Italy,1972,2.35
IT,Italy,1973,2.3
IT,Italy,1974,2.28
IT,Italy,1975,2.17
IT,Italy,1976,2.04
IT,Italy,1977,1.93
IT,Italy,1978,1.84
IT,Italy,1979,1.73
IT,Italy,1980,1.64
IT,Italy,1981,1.58
IT,Italy,1982,1.56
IT,Italy,1983,1.51
IT,Italy,1984,1.46
IT,Italy,1985,1.42
IT,Italy,1986,1.35
IT,Italy,1987,1.33
IT,Italy,1988,1.36
IT,Italy,1989,1.33
IT,Italy,1990,1.33
IT,Italy,1991,1.3
IT,Italy,1992,1.3
IT,Italy,1993,1.25
IT,Italy,1994,1.21
IT,Italy,1995,1.19
IT,Italy,1996,1.2
IT,Italy,1997,1.22
IT,Italy,1998,1.22
IT,Italy,1999,1.23
IT,Italy,2000,1.26
IT,Italy,2001,1.25
IT,Italy,2002,1.27
IT,Italy,2003,1.29
IT,Italy,2004,1.34
IT,Italy,2005,1.33
IT,Italy,2006,1.37
IT,Italy,2007,1.39
IT,Italy,2008,1.44
IT,Italy,2009,1.44
IT,Italy,2010,1.44
IT,Italy,2011,1.42
IT,Italy,2012,1.42
IT,Italy,2013,1.39
IT,Italy,2014,1.38
IT,Italy,2015,1.36
IT,Italy,2016,1.36
IT,Italy,2017,1.34
IT,Italy,2018,1.31
IT,Italy,2019,1.27
IT,Italy,2020,1.24
IT,Italy,2021,1.25
IT,Italy,2022,1.24
IT,Italy,2023,1.21
IT,Italy,2024,1.18
LT,Lithuania,1970,2.4
LT,Lithuania,1971,2.41
LT,Lithuania,1972,2.34
LT,Lithuania,1973,2.22
LT,Lithuania,1974,2.21
LT,Lithuania,1975,2.18
LT,Lithuania,1976,2.18
LT,Lithuania,1977,2.14
LT,Lithuania,1978,2.08
LT,Lithuania,1979,2.05
LT,Lithuania,1980,1.99
LT,Lithuania,1981,1.98
LT,Lithuania,1982,1.97
LT,Lithuania,1983,2.1
LT,Lithuania,1984,2.07
LT,Lithuania,1985,2.08
LT,Lithuania,1986,2.12
LT,Lithuania,1987,2.11
LT,Lithuania,1988,2.02
LT,Lithuania,1989,1.98
LT,Lithuania,1990,2.03
LT,Lithuania,1991,2.01
LT,Lithuania,1992,1.97
LT,Lithuania,1993,1.74
LT,Lithuania,1994,1.57
LT,Lithuania,1995,1.55
LT,Lithuania,1996,1.49
LT,Lithuania,1997,1.47
LT,Lithuania,1998,1.46
LT,Lithuania,1999,1.46
LT,Lithuania,2000,1.39
LT,Lithuania,2001,1.29
LT,Lithuania,2002,1.23
LT,Lithuania,2003,1.26
LT,Lithuania,2004,1.27
LT,Lithuania,2005,1.29
LT,Lithuania,2006,1.33
LT,Lithuania,2007,1.36
LT,Lithuania,2008,1.45
LT,Lithuania,2009,1.5
LT,Lithuania,2010,1.5
LT,Lithuania,2011,1.55
LT,Lithuania,2012,1.6
LT,Lithuania,2013,1.59
LT,Lithuania,2014,1.57
LT,Lithuania,2015,1.63
LT,Lithuania,2016,1.63
LT,Lithuania,2017,1.57
LT,Lithuania,2018,1.53
LT,Lithuania,2019,1.43
LT,Lithuania,2020,1.36
LT,Lithuania,2021,1.36
LT,Lithuania,2022,1.27
LT,Lithuania,2023,1.18
LT,Lithuania,2024,1.11
NL,Netherlands,1970,2.57
NL,Netherlands,1971,2.36
NL,Netherlands,1972,2.15
NL,Netherlands,1973,1.9
NL,Netherlands,1974,1.77
NL,Netherlands,1975,1.66
NL,Netherlands,1976,1.63
NL,Netherlands,1977,1.58
NL,Netherlands,1978,1.58
NL,Netherlands,1979,1.56
NL,Netherlands,1980,1.6
NL,Netherlands,1981,1.56
NL,Netherlands,1982,1.5
NL,Netherlands,1983,1.47
NL,Netherlands,1984,1.49
NL,Netherlands,1985,1.51
NL,Netherlands,1986,1.55
NL,Netherlands,1987,1.56
NL,Netherlands,1988,1.55
NL,Netherlands,1989,1.55
NL,Netherlands,1990,1.62
NL,Netherlands,1991,1.61
NL,Netherlands,1992,1.59
NL,Netherlands,1993,1.57
NL,Netherlands,1994,1.57
NL,Netherlands,1995,1.53
NL,Netherlands,1996,1.53
NL,Netherlands,1997,1.56
NL,Netherlands,1998,1.63
NL,Netherlands,1999,1.65
NL,Netherlands,2000,1.72
NL,Netherlands,2001,1.71
NL,Netherlands,2002,1.73
NL,Netherlands,2003,1.75
NL,Netherlands,2004,1.72
NL,Netherlands,2005,1.71
NL,Netherlands,2006,1.72
NL,Netherlands,2007,1.72
NL,Netherlands,2008,1.77
NL,Netherlands,2009,1.79
NL,Netherlands,2010,1.79
NL,Netherlands,2011,1.76
NL,Netherlands,2012,1.72
NL,Netherlands,2013,1.68
NL,Netherlands,2014,1.71
NL,Netherlands,2015,1.66
NL,Netherlands,2016,1.66
NL,Netherlands,2017,1.62
NL,Netherlands,2018,1.59
NL,Netherlands,2019,1.57
NL,Netherlands,2020,1.54
NL,Netherlands,2021,1.62
NL,Netherlands,2022,1.49
NL,Netherlands,2023,1.43
NL,Netherlands,2024,1.43
NO,Norway,1970,2.5
NO,Norway,1971,2.49
NO,Norway,1972,2.38
NO,Norway,1973,2.23
NO,Norway,1974,2.13
NO,Norway,1975,1.98
NO,Norway,1976,1.86
NO,Norway,1977,1.75
NO,Norway,1978,1.77
NO,Norway,1979,1.75
NO,Norway,1980,1.72
NO,Norway,1981,1.7
NO,Norway,1982,1.71
NO,Norway,1983,1.66
NO,Norway,1984,1.66
NO,Norway,1985,1.68
NO,Norway,1986,1.71
NO,Norway,1987,1.74
NO,Norway,1988,1.84
NO,Norway,1989,1.89
NO,Norway,1990,1.93
NO,Norway,1991,1.92
NO,Norway,1992,1.88
NO,Norway,1993,1.86
NO,Norway,1994,1.87
NO,Norway,1995,1.87
NO,Norway,1996,1.89
NO,Norway,1997,1.86
NO,Norway,1998,1.81
NO,Norway,1999,1.85
NO,Norway,2000,1.85
NO,Norway,2001,1.78
NO,Norway,2002,1.75
NO,Norway,2003,1.8
NO,Norway,2004,1.83
NO,Norway,2005,1.84
NO,Norway,2006,1.9
NO,Norway,2007,1.9
NO,Norway,2008,1.96
NO,Norway,2009,1.98
NO,Norway,2010,1.95
NO,Norway,2011,1.88
NO,Norway,2012,1.85
NO,Norway,2013,1.78
NO,Norway,2014,1.75
NO,Norway,2015,1.72
NO,Norway,2016,1.71
NO,Norway,2017,1.62
NO,Norway,2018,1.56
NO,Norway,2019,1.53
NO,Norway,2020,1.48
NO,Norway,2021,1.55
NO,Norway,2022,1.41
NO,Norway,2023,1.4
NO,Norway,2024,1.45
PL,Poland,1970,2.2
PL,Poland,1971,2.25
PL,Poland,1972,2.24
PL,Poland,1973,2.26
PL,Poland,1974,2.26
PL,Poland,1975,2.27
PL,Poland,1976,2.3
PL,Poland,1977,2.23
PL,Poland,1978,2.21
PL,Poland,1979,2.28
PL,Poland,1980,2.28
PL,Poland,1981,2.24
PL,Poland,1982,2.34
PL,Poland,1983,2.42
PL,Poland,1984,2.37
PL,Poland,1985,2.33
